#    L    TT             EE             BB             TE          
   301   0.404383E+04   0.924780E+01   0.309138E-01   0.118727E+03
   302   0.400996E+04   0.942605E+01   0.310640E-01   0.119022E+03
   303   0.397604E+04   0.960530E+01   0.312135E-01   0.119280E+03
   304   0.394208E+04   0.978549E+01   0.313623E-01   0.119502E+03
   305   0.390809E+04   0.996653E+01   0.315104E-01   0.119686E+03
   306   0.387408E+04   0.101484E+02   0.316579E-01   0.119832E+03
   307   0.384006E+04   0.103310E+02   0.318046E-01   0.119941E+03
   308   0.380605E+04   0.105144E+02   0.319506E-01   0.120012E+03
   309   0.377205E+04   0.106983E+02   0.320959E-01   0.120046E+03
   310   0.373806E+04   0.108827E+02   0.322405E-01   0.120042E+03
   311   0.370412E+04   0.110677E+02   0.323844E-01   0.119999E+03
   312   0.367020E+04   0.112532E+02   0.325277E-01   0.119918E+03
   313   0.363634E+04   0.114390E+02   0.326702E-01   0.119800E+03
   314   0.360255E+04   0.116251E+02   0.328120E-01   0.119643E+03
   315   0.356881E+04   0.118114E+02   0.329532E-01   0.119448E+03
   316   0.353516E+04   0.119979E+02   0.330936E-01   0.119214E+03
   317   0.350161E+04   0.121845E+02   0.332334E-01   0.118944E+03
   318   0.346816E+04   0.123712E+02   0.333725E-01   0.118635E+03
   319   0.343482E+04   0.125578E+02   0.335109E-01   0.118287E+03
   320   0.340159E+04   0.127444E+02   0.336487E-01   0.117903E+03
   321   0.336850E+04   0.129308E+02   0.337858E-01   0.117480E+03
   322   0.333555E+04   0.131170E+02   0.339222E-01   0.117020E+03
   323   0.330275E+04   0.133028E+02   0.340580E-01   0.116522E+03
   324   0.327011E+04   0.134883E+02   0.341931E-01   0.115988E+03
   325   0.323763E+04   0.136733E+02   0.343276E-01   0.115416E+03
   326   0.320533E+04   0.138579E+02   0.344615E-01   0.114807E+03
   327   0.317322E+04   0.140418E+02   0.345948E-01   0.114161E+03
   328   0.314130E+04   0.142251E+02   0.347275E-01   0.113478E+03
   329   0.310959E+04   0.144077E+02   0.348595E-01   0.112761E+03
   330   0.307809E+04   0.145894E+02   0.349910E-01   0.112006E+03
   331   0.304681E+04   0.147703E+02   0.351219E-01   0.111216E+03
   332   0.301576E+04   0.149503E+02   0.352523E-01   0.110389E+03
   333   0.298494E+04   0.151293E+02   0.353821E-01   0.109528E+03
   334   0.295437E+04   0.153072E+02   0.355114E-01   0.108632E+03
   335   0.292406E+04   0.154838E+02   0.356402E-01   0.107702E+03
   336   0.289401E+04   0.156593E+02   0.357684E-01   0.106737E+03
   337   0.286423E+04   0.158335E+02   0.358962E-01   0.105739E+03
   338   0.283472E+04   0.160064E+02   0.360235E-01   0.104708E+03
   339   0.280550E+04   0.161778E+02   0.361504E-01   0.103645E+03
   340   0.277658E+04   0.163478E+02   0.362768E-01   0.102549E+03
   341   0.274796E+04   0.165162E+02   0.364028E-01   0.101421E+03
   342   0.271964E+04   0.166829E+02   0.365284E-01   0.100261E+03
   343   0.269163E+04   0.168479E+02   0.366536E-01   0.990700E+02
   344   0.266394E+04   0.170111E+02   0.367784E-01   0.978478E+02
   345   0.263656E+04   0.171723E+02   0.369029E-01   0.965949E+02
   346   0.260951E+04   0.173316E+02   0.370271E-01   0.953114E+02
   347   0.258278E+04   0.174889E+02   0.371510E-01   0.939979E+02
   348   0.255639E+04   0.176439E+02   0.372746E-01   0.926544E+02
   349   0.253035E+04   0.177969E+02   0.373979E-01   0.912833E+02
   350   0.250465E+04   0.179476E+02   0.375210E-01   0.898837E+02
   351   0.247931E+04   0.180962E+02   0.376439E-01   0.884571E+02
   352   0.245435E+04   0.182424E+02   0.377665E-01   0.870043E+02
   353   0.242975E+04   0.183862E+02   0.378890E-01   0.855252E+02
   354   0.240553E+04   0.185277E+02   0.380113E-01   0.840222E+02
   355   0.238170E+04   0.186667E+02   0.381335E-01   0.824945E+02
   356   0.235826E+04   0.188031E+02   0.382556E-01   0.809427E+02
   357   0.233520E+04   0.189370E+02   0.383776E-01   0.793677E+02
   358   0.231255E+04   0.190682E+02   0.384995E-01   0.777702E+02
   359   0.229029E+04   0.191966E+02   0.386213E-01   0.761502E+02
   360   0.226843E+04   0.193222E+02   0.387432E-01   0.745091E+02
