#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   140   0.404500E+04  -0.445891E+02   0.240924E-03  -0.445891E+02   0.111731E+01  -0.122041E-05   0.240924E-03  -0.122041E-05   0.796092E-07
   141   0.407926E+04  -0.448463E+02   0.238734E-03  -0.448463E+02   0.111701E+01  -0.121482E-05   0.238734E-03  -0.121482E-05   0.791420E-07
   142   0.411343E+04  -0.450829E+02   0.236578E-03  -0.450829E+02   0.111621E+01  -0.120799E-05   0.236578E-03  -0.120799E-05   0.786786E-07
   143   0.414750E+04  -0.452989E+02   0.234453E-03  -0.452989E+02   0.111493E+01  -0.120002E-05   0.234453E-03  -0.120002E-05   0.782190E-07
   144   0.418147E+04  -0.454938E+02   0.232359E-03  -0.454938E+02   0.111316E+01  -0.119102E-05   0.232359E-03  -0.119102E-05   0.777630E-07
   145   0.421533E+04  -0.456669E+02   0.230293E-03  -0.456669E+02   0.111090E+01  -0.118109E-05   0.230293E-03  -0.118109E-05   0.773108E-07
   146   0.424905E+04  -0.458183E+02   0.228254E-03  -0.458183E+02   0.110816E+01  -0.117031E-05   0.228254E-03  -0.117031E-05   0.768621E-07
   147   0.428263E+04  -0.459471E+02   0.226241E-03  -0.459471E+02   0.110496E+01  -0.115880E-05   0.226241E-03  -0.115880E-05   0.764172E-07
   148   0.431605E+04  -0.460532E+02   0.224253E-03  -0.460532E+02   0.110129E+01  -0.114665E-05   0.224253E-03  -0.114665E-05   0.759758E-07
   149   0.434929E+04  -0.461362E+02   0.222286E-03  -0.461362E+02   0.109716E+01  -0.113396E-05   0.222286E-03  -0.113396E-05   0.755380E-07
   150   0.438235E+04  -0.461956E+02   0.220342E-03  -0.461956E+02   0.109258E+01  -0.112084E-05   0.220342E-03  -0.112084E-05   0.751037E-07
   151   0.441520E+04  -0.462310E+02   0.218417E-03  -0.462310E+02   0.108756E+01  -0.110735E-05   0.218417E-03  -0.110735E-05   0.746729E-07
   152   0.444785E+04  -0.462423E+02   0.216511E-03  -0.462423E+02   0.108210E+01  -0.109355E-05   0.216511E-03  -0.109355E-05   0.742457E-07
   153   0.448028E+04  -0.462291E+02   0.214625E-03  -0.462291E+02   0.107622E+01  -0.107945E-05   0.214625E-03  -0.107945E-05   0.738219E-07
   154   0.451249E+04  -0.461912E+02   0.212758E-03  -0.461912E+02   0.106993E+01  -0.106507E-05   0.212758E-03  -0.106507E-05   0.734016E-07
   155   0.454448E+04  -0.461283E+02   0.210911E-03  -0.461283E+02   0.106323E+01  -0.105045E-05   0.210911E-03  -0.105045E-05   0.729847E-07
   156   0.457625E+04  -0.460402E+02   0.209083E-03  -0.460402E+02   0.105615E+01  -0.103559E-05   0.209083E-03  -0.103559E-05   0.725712E-07
   157   0.460777E+04  -0.459266E+02   0.207273E-03  -0.459266E+02   0.104868E+01  -0.102052E-05   0.207273E-03  -0.102052E-05   0.721611E-07
   158   0.463907E+04  -0.457873E+02   0.205483E-03  -0.457873E+02   0.104086E+01  -0.100526E-05   0.205483E-03  -0.100526E-05   0.717543E-07
   159   0.467011E+04  -0.456221E+02   0.203712E-03  -0.456221E+02   0.103268E+01  -0.989835E-06   0.203712E-03  -0.989835E-06   0.713509E-07
   160   0.470090E+04  -0.454308E+02   0.201959E-03  -0.454308E+02   0.102417E+01  -0.974267E-06   0.201959E-03  -0.974267E-06   0.709508E-07
   161   0.473140E+04  -0.452130E+02   0.200225E-03  -0.452130E+02   0.101534E+01  -0.958577E-06   0.200225E-03  -0.958577E-06   0.705540E-07
   162   0.476162E+04  -0.449688E+02   0.198509E-03  -0.449688E+02   0.100620E+01  -0.942787E-06   0.198509E-03  -0.942787E-06   0.701605E-07
   163   0.479154E+04  -0.446978E+02   0.196811E-03  -0.446978E+02   0.996795E+00  -0.926919E-06   0.196811E-03  -0.926919E-06   0.697702E-07
   164   0.482115E+04  -0.443999E+02   0.195132E-03  -0.443999E+02   0.987112E+00  -0.910994E-06   0.195132E-03  -0.910994E-06   0.693831E-07
   165   0.485043E+04  -0.440748E+02   0.193472E-03  -0.440748E+02   0.977176E+00  -0.895035E-06   0.193472E-03  -0.895035E-06   0.689993E-07
   166   0.487938E+04  -0.437225E+02   0.191829E-03  -0.437225E+02   0.967011E+00  -0.879063E-06   0.191829E-03  -0.879063E-06   0.686186E-07
   167   0.490799E+04  -0.433427E+02   0.190204E-03  -0.433427E+02   0.956637E+00  -0.863100E-06   0.190204E-03  -0.863100E-06   0.682411E-07
   168   0.493624E+04  -0.429357E+02   0.188597E-03  -0.429357E+02   0.946078E+00  -0.847168E-06   0.188597E-03  -0.847168E-06   0.678667E-07
   169   0.496414E+04  -0.425012E+02   0.187007E-03  -0.425012E+02   0.935356E+00  -0.831290E-06   0.187007E-03  -0.831290E-06   0.674954E-07
   170   0.499167E+04  -0.420391E+02   0.185436E-03  -0.420391E+02   0.924485E+00  -0.815486E-06   0.185436E-03  -0.815486E-06   0.671272E-07
   171   0.501882E+04  -0.415493E+02   0.183882E-03  -0.415493E+02   0.913495E+00  -0.799779E-06   0.183882E-03  -0.799779E-06   0.667621E-07
   172   0.504560E+04  -0.410319E+02   0.182345E-03  -0.410319E+02   0.902408E+00  -0.784191E-06   0.182345E-03  -0.784191E-06   0.664000E-07
