#    L    TT             EE             TE             PP             TP          
   224   0.573376E+04   0.953253E+00   0.197899E+02   0.236503E+07   0.203858E+04
   225   0.573129E+04   0.982771E+00   0.214368E+02   0.235417E+07   0.202218E+04
   226   0.572819E+04   0.101400E+01   0.230922E+02   0.234340E+07   0.200590E+04
   227   0.572447E+04   0.104696E+01   0.247552E+02   0.233271E+07   0.198975E+04
   228   0.572012E+04   0.108168E+01   0.264252E+02   0.232209E+07   0.197371E+04
   229   0.571516E+04   0.111820E+01   0.281014E+02   0.231156E+07   0.195778E+04
   230   0.570957E+04   0.115654E+01   0.297834E+02   0.230110E+07   0.194198E+04
   231   0.570337E+04   0.119672E+01   0.314702E+02   0.229072E+07   0.192629E+04
   232   0.569656E+04   0.123878E+01   0.331612E+02   0.228042E+07   0.191072E+04
   233   0.568913E+04   0.128275E+01   0.348558E+02   0.227019E+07   0.189526E+04
   234   0.568109E+04   0.132865E+01   0.365531E+02   0.226004E+07   0.187991E+04
   235   0.567244E+04   0.137651E+01   0.382525E+02   0.224996E+07   0.186468E+04
   236   0.566318E+04   0.142635E+01   0.399533E+02   0.223996E+07   0.184955E+04
   237   0.565333E+04   0.147820E+01   0.416547E+02   0.223003E+07   0.183454E+04
   238   0.564287E+04   0.153207E+01   0.433560E+02   0.222017E+07   0.181964E+04
   239   0.563182E+04   0.158798E+01   0.450565E+02   0.221038E+07   0.180485E+04
   240   0.562017E+04   0.164597E+01   0.467553E+02   0.220066E+07   0.179017E+04
   241   0.560793E+04   0.170605E+01   0.484519E+02   0.219101E+07   0.177559E+04
   242   0.559511E+04   0.176824E+01   0.501453E+02   0.218143E+07   0.176112E+04
   243   0.558171E+04   0.183256E+01   0.518349E+02   0.217191E+07   0.174676E+04
   244   0.556773E+04   0.189902E+01   0.535200E+02   0.216247E+07   0.173251E+04
   245   0.555319E+04   0.196765E+01   0.551999E+02   0.215309E+07   0.171835E+04
   246   0.553808E+04   0.203845E+01   0.568738E+02   0.214377E+07   0.170430E+04
   247   0.552241E+04   0.211145E+01   0.585411E+02   0.213452E+07   0.169036E+04
   248   0.550620E+04   0.218666E+01   0.602009E+02   0.212533E+07   0.167651E+04
   249   0.548944E+04   0.226408E+01   0.618525E+02   0.211621E+07   0.166277E+04
   250   0.547214E+04   0.234374E+01   0.634953E+02   0.210714E+07   0.164912E+04
   251   0.545430E+04   0.242562E+01   0.651283E+02   0.209814E+07   0.163558E+04
   252   0.543592E+04   0.250976E+01   0.667508E+02   0.208920E+07   0.162213E+04
   253   0.541701E+04   0.259614E+01   0.683620E+02   0.208032E+07   0.160878E+04
   254   0.539757E+04   0.268479E+01   0.699611E+02   0.207150E+07   0.159553E+04
   255   0.537760E+04   0.277570E+01   0.715473E+02   0.206274E+07   0.158238E+04
   256   0.535711E+04   0.286887E+01   0.731199E+02   0.205403E+07   0.156932E+04
   257   0.533611E+04   0.296432E+01   0.746782E+02   0.204539E+07   0.155635E+04
   258   0.531461E+04   0.306203E+01   0.762212E+02   0.203680E+07   0.154348E+04
   259   0.529261E+04   0.316203E+01   0.777494E+02   0.202827E+07   0.153070E+04
   260   0.527015E+04   0.326429E+01   0.792605E+02   0.201980E+07   0.151802E+04
   261   0.524722E+04   0.336882E+01   0.807553E+02   0.201138E+07   0.150542E+04
   262   0.522384E+04   0.347563E+01   0.822323E+02   0.200302E+07   0.149291E+04
   263   0.520002E+04   0.358470E+01   0.836915E+02   0.199472E+07   0.148050E+04
   264   0.517577E+04   0.369604E+01   0.851313E+02   0.198647E+07   0.146817E+04
   265   0.515109E+04   0.380963E+01   0.865526E+02   0.197828E+07   0.145593E+04
   266   0.512599E+04   0.392547E+01   0.879532E+02   0.197013E+07   0.144378E+04
   267   0.510047E+04   0.404353E+01   0.893322E+02   0.196205E+07   0.143172E+04
   268   0.507455E+04   0.416381E+01   0.906904E+02   0.195401E+07   0.141974E+04
   269   0.504822E+04   0.428630E+01   0.920257E+02   0.194603E+07   0.140785E+04
   270   0.502149E+04   0.441098E+01   0.933386E+02   0.193810E+07   0.139604E+04
   271   0.499437E+04   0.453785E+01   0.946271E+02   0.193023E+07   0.138431E+04
   272   0.496687E+04   0.466688E+01   0.958919E+02   0.192240E+07   0.137267E+04
   273   0.493902E+04   0.479805E+01   0.971313E+02   0.191463E+07   0.136111E+04
   274   0.491080E+04   0.493134E+01   0.983464E+02   0.190690E+07   0.134963E+04
   275   0.488222E+04   0.506674E+01   0.995346E+02   0.189923E+07   0.133822E+04
   276   0.485333E+04   0.520422E+01   0.100697E+03   0.189160E+07   0.132690E+04
   277   0.482410E+04   0.534377E+01   0.101832E+03   0.188403E+07   0.131566E+04
   278   0.479456E+04   0.548536E+01   0.102938E+03   0.187650E+07   0.130450E+04
   279   0.476471E+04   0.562895E+01   0.104018E+03   0.186902E+07   0.129341E+04
   280   0.473457E+04   0.577452E+01   0.105068E+03   0.186159E+07   0.128240E+04
   281   0.470414E+04   0.592205E+01   0.106089E+03   0.185421E+07   0.127146E+04
   282   0.467344E+04   0.607150E+01   0.107081E+03   0.184687E+07   0.126060E+04
   283   0.464247E+04   0.622284E+01   0.108042E+03   0.183958E+07   0.124981E+04
   284   0.461125E+04   0.637604E+01   0.108972E+03   0.183233E+07   0.123909E+04
   285   0.457978E+04   0.653108E+01   0.109871E+03   0.182513E+07   0.122845E+04
   286   0.454807E+04   0.668790E+01   0.110739E+03   0.181797E+07   0.121788E+04
   287   0.451615E+04   0.684648E+01   0.111574E+03   0.181086E+07   0.120738E+04
   288   0.448401E+04   0.700677E+01   0.112377E+03   0.180380E+07   0.119695E+04
   289   0.445166E+04   0.716875E+01   0.113147E+03   0.179677E+07   0.118658E+04
   290   0.441913E+04   0.733237E+01   0.113884E+03   0.178979E+07   0.117629E+04
   291   0.438642E+04   0.749760E+01   0.114587E+03   0.178285E+07   0.116606E+04
   292   0.435353E+04   0.766433E+01   0.115255E+03   0.177596E+07   0.115590E+04
   293   0.432048E+04   0.783261E+01   0.115890E+03   0.176910E+07   0.114581E+04
